productId,name,type,brandName,batchNumber,supplierName,category,subCategory,storageInstructions,quantityPerUnit,gst,hsnCode,discount,updatedOn,expiry,manufactureDate,sellingPrice,lastSoldDate,stockStatus,scientificName,form,strength,idealDosage,route,dosageTiming,dosageFrequency,durationOfUse,sideEffects,allergyWarnings,controlledSubstance,prescriptionRequired,usageInstructions,warranty,
NON006,Hot Water Bag,nonmedicine,Hicks,BT22764,Guardian Pharmacy,Wellness,Heat Therapy,Keep away from sharp objects,1 unit,18%,40149020,10%,20-09-2025,N/A,01-02-2025,230,19-09-2025,low_stock,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6 months,
MED007,Levocetirizine 5mg,medicine,Glenmark,BT44771,Aster Pharma,Antihistamine,Tablet,Store below 25°C,10 tablets,12%,30049082,8%,20-09-2025,10-11-2026,01-11-2024,35,14-09-2025,in_stock,Levocetirizine,Tablet,5mg,1 tablet,Oral,After Meal,Once daily,10 days,Drowsiness,No,No,Yes,Take with water,N/A,
NON007,Dettol Liquid 500ml,nonmedicine,Reckitt Benckiser,BT66611,BigBasket,Personal Care,Disinfectant,Keep tightly closed,500ml,18%,38089400,12%,20-09-2025,01-03-2027,01-02-2025,180,19-09-2025,in_stock,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1 year,
MED008,Atorvastatin 10mg,medicine,Cadila,BT33121,Platinum Pharma,Cardiovascular,Tablet,Store below 30°C,10 tablets,12%,30049092,5%,20-09-2025,20-08-2026,01-08-2024,75,13-09-2025,in_stock,Atorvastatin,Tablet,10mg,1 tablet,Oral,After Meal,Once daily,30 days,Muscle pain,Liver issues,No,Yes,Yes,Take with water,N/A
NON008,First Aid Kit,nonmedicine,SafeAid,BT11290,MedKart,Medical Supplies,Emergency Kit,Store in dry area,1 kit,18%,30065000,15%,20-09-2025,N/A,01-01-2025,450,18-09-2025,in_stock,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1 year,
MED009,Omeprazole 20mg,medicine,Intas Pharma,BT66554,Zepto Distributors,Antacid,Capsule,Store below 25°C,10 capsules,12%,30049034,8%,20-09-2025,01-12-2026,01-12-2024,60,15-09-2025,in_stock,Omeprazole,Capsule,20mg,1 capsule,Oral,Before Meal,Once daily,14 days,Headache,Allergy,No,Yes,Yes,Take before food,N/A
NON009,Blood Pressure Monitor,nonmedicine,Omron,BT88745,MedBuddy,Medical Device,Diagnostics,Store at room temperature,1 unit,18%,90189019,10%,20-09-2025,N/A,01-01-2025,1800,18-09-2025,in_stock,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1 year,
MED010,Amlodipine 5mg,medicine,Mankind Pharma,BT22911,NoblePlus Pharma,Cardiovascular,Tablet,Store below 30°C,10 tablets,12%,30049099,0%,20-09-2025,01-09-2026,01-09-2024,55,12-09-2025,in_stock,Amlodipine,Tablet,5mg,1 tablet,Oral,After Meal,Once daily,30 days,Dizziness,Fatigue,No,Yes,Yes,Take with water,N/A
PROD011,Shampoo Anti-Dandruff 200ml,nonmedicine,Accu-Chek,BT32911,HerbalLife Distributors,Diagnostics,Test Kit,Room temperature,100g,12%,30049255,10%,20-09-2025,N/A,02-04-2024,1761,11-09-2025,low_stock,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6 months,
PROD012,Calcium + Vitamin D3,medicine,Sun Pharma,BT26980,Apollo Distributors,Antacid,Tablet,Store below 25°C,500g,18%,30049420,15%,20-09-2025,20-06-2026,09-03-2024,1263,10-09-2025,out_of_stock,Calcium Carbonate & Vitamin D3,Tablet,500mg+400IU,1 tablet,Oral,After Meal,Once daily,90 days,Constipation,Allergy,No,Yes,Yes,Take with water,N/A
PROD013,Neem Face Wash 150ml,nonmedicine,Abbott,BT42851,Apollo Distributors,Wellness,Lifestyle,Store below 25°C,500ml,18%,30049959,12%,20-09-2025,N/A,29-06-2024,1365,21-09-2025,out_of_stock,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6 months,
PROD014,Clopidogrel 75mg,medicine,Dettol,BT99783,MedKart,Analgesic,Gel,Keep away from fire,20 tablets,18%,30049624,5%,20-09-2025,23-08-2026,11-02-2024,420,04-09-2025,in_stock,Clopidogrel,Tablet,75mg,1 tablet,Oral,After Meal,Once daily,30 days,Bleeding,Bruising,No,Yes,Yes,Take with water,N/A
PROD015,Lip Balm 10g,nonmedicine,Cadila,BT84322,MedKart,Wellness,Lifestyle,Room temperature,500ml,5%,30049023,15%,20-09-2025,N/A,11-11-2024,1263,11-09-2025,out_of_stock,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6 months,
MED016,Multivitamin Capsule,medicine,Cipla,BT48785,Apollo Distributors,Antihistamine,Tablet,Store below 25°C,Box of 50,12%,30049914,20%,20-09-2025,11-06-2026,10-12-2024,1054,19-09-2025,out_of_stock,Multivitamin,Tablet,Box of 50,1 capsule,Oral,After Meal,Once daily,60 days,Nausea,Allergy,No,No,Yes,Take with water,N/A
PROD017,Cold Pack,nonmedicine,Cipla,BT93329,Medilife Distributors,Personal Care,Hair Care,Store in cool dry place,10 tablets,18%,30049208,12%,20-09-2025,N/A,04-12-2024,248,14-09-2025,in_stock,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6 months,
MED018,Doxycycline 100mg,medicine,Cipla,BT34648,Platinum Pharma,Diabetes Care,Tablet,Store below 25°C,Box of 50,18%,30049272,5%,20-09-2025,22-10-2026,11-10-2024,555,07-09-2025,low_stock,Doxycycline,Tablet,100mg,1 tablet,Oral,After Meal,Once daily,7 days,Nausea,Allergy,No,Yes,Yes,Complete full course,N/A
PROD019,Herbal Tea 100g,nonmedicine,Sun Pharma,BT48468,Wellness Forever,Baby Care,Diapers,Room temperature,20 tablets,5%,30049549,5%,20-09-2025,N/A,19-09-2024,751,05-09-2025,low_stock,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6 months,
MED020,Zinc Sulphate 50mg,medicine,Himalaya,BT31209,Platinum Pharma,Cardiovascular,Tablet,Room temperature,200ml,18%,30049663,0%,20-09-2025,06-03-2026,21-12-2024,1467,19-09-2025,in_stock,Zinc Sulphate,Tablet,50mg,1 tablet,Oral,After Meal,Once daily,30 days,Nausea,Allergy,No,No,Yes,Take with water,N/A
PROD021,Moisturizing Cream 100g,nonmedicine,Glenmark,BT99152,NoblePlus Pharma,Baby Care,Diapers,Room temperature,15 tablets,5%,30049682,0%,20-09-2025,N/A,25-10-2024,655,10-09-2025,low_stock,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6 months,
MED022,Insulin 100IU,medicine,Accu-Chek,BT68475,Zepto Distributors,Diabetes Care,Device,Keep away from fire,10 tablets,12%,30049707,15%,20-09-2025,19-05-2026,08-03-2024,31,15-09-2025,low_stock,Insulin,Injection,100IU,1 injection,Subcutaneous,Before Meal,Once daily,30 days,Hypoglycemia,Allergy,Yes,Yes,Yes,Follow prescription,N/A
PROD023,Neem Face Wash 150ml,nonmedicine,Dettol,BT23328,Star Pharma Supplies,Baby Care,Baby Lotion,Room temperature,Pack of 10,5%,30049318,15%,20-09-2025,N/A,17-07-2024,500,05-09-2025,in_stock,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6 months,
MED024,Clopidogrel 75mg,medicine,Patanjali,BT13527,HerbalLife Distributors,Cardiovascular,Tablet,Room temperature,100g,18%,30049055,25%,20-09-2025,07-10-2026,24-12-2024,296,05-09-2025,low_stock,Clopidogrel,Tablet,75mg,1 tablet,Oral,After Meal,Once daily,30 days,Bleeding,Bruising,No,Yes,Yes,Take with water,N/A
PROD025,Surgical Gloves (Box of 100),nonmedicine,Alkem,BT65182,MedPlus Pharma,Baby Care,Baby Lotion,Store in cool dry place,10 tablets,12%,30049136,5%,20-09-2025,N/A,02-05-2024,880,09-09-2025,low_stock,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6 months,
MED026,Pantoprazole 40mg,medicine,Dettol,BT20003,Guardian Pharmacy,Analgesic,Gel,Keep away from fire,200ml,12%,30049936,0%,20-09-2025,16-12-2026,11-12-2024,1115,17-09-2025,low_stock,Pantoprazole,Tablet,40mg,1 tablet,Oral,Before Meal,Once daily,14 days,Nausea,Allergy,No,Yes,Yes,Take before food,N/A
PROD027,Toothpaste 150g,nonmedicine,3M,BT99828,Wellness Forever,Nutrition,Protein,Store in cool dry place,500ml,18%,30049979,20%,20-09-2025,N/A,01-02-2024,1441,12-09-2025,in_stock,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6 months,
MED028,Thyroxine 50mcg,medicine,Sun Pharma,BT65078,Apollo Distributors,Analgesic,Tablet,Room temperature,500g,18%,30049620,15%,20-09-2025,08-06-2026,17-10-2024,1541,19-09-2025,low_stock,Thyroxine,Tablet,50mcg,1 tablet,Oral,Before Meal,Once daily,30 days,Palpitations,Allergy,No,Yes,Yes,Take before breakfast,N/A
PROD029,Energy Drink 250ml,nonmedicine,Sun Pharma,BT89787,NoblePlus Pharma,Wellness,Lifestyle,Room temperature,15 tablets,18%,30049673,10%,20-09-2025,N/A,23-07-2024,1280,06-09-2025,in_stock,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6 months,
MED030,Doxycycline 100mg,medicine,Lupin,BT51580,Wellness Forever,Supplement,Capsule,Keep away from fire,15 tablets,18%,30049346,25%,20-09-2025,12-03-2026,18-06-2024,750,07-09-2025,in_stock,Doxycycline,Capsule,100mg,1 capsule,Oral,After Meal,Once daily,7 days,Nausea,Allergy,No,Yes,Yes,Complete full course,N/A
PROD031,Mouthwash 250ml,nonmedicine,Hicks,BT41805,Platinum Pharma,Medical Device,Diagnostics,Keep away from fire,200ml,5%,30049443,15%,20-09-2025,N/A,15-06-2024,425,18-09-2025,in_stock,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6 months,
MED032,Prednisolone 5mg,medicine,Savlon,BT69260,Zepto Distributors,Cardiovascular,Capsule,Keep away from fire,Box of 50,18%,30049780,10%,20-09-2025,17-10-2026,03-11-2024,1276,06-09-2025,in_stock,Prednisolone,Capsule,5mg,1 tablet,Oral,After Meal,Once daily,14 days,Insomnia,Allergy,No,Yes,Yes,Take with water,N/A
PROD033,Herbal Tea 100g,nonmedicine,Torrent Pharma,BT80205,Apollo Distributors,Nutrition,Herbal Drink,Keep away from fire,200ml,12%,30049310,10%,20-09-2025,N/A,23-05-2024,728,21-09-2025,low_stock,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6 months,
MED034,Doxycycline 100mg,medicine,Dettol,BT88125,Platinum Pharma,Antimalarial,Tablet,Store in cool dry place,Box of 50,18%,30049310,5%,20-09-2025,05-06-2026,15-06-2024,1502,05-09-2025,out_of_stock,Doxycycline,Tablet,100mg,1 tablet,Oral,After Meal,Once daily,7 days,Nausea,Allergy,No,Yes,Yes,Complete full course,N/A
PROD035,Hair Oil 100ml,nonmedicine,Dettol,BT56727,NoblePlus Pharma,Wellness,Lifestyle,Keep away from fire,200ml,18%,30049424,10%,20-09-2025,N/A,13-12-2024,235,18-09-2025,out_of_stock,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6 months,
MED036,Ranitidine 150mg,medicine,Alkem,BT50832,MedKart,Antihistamine,Tablet,Keep away from fire,Pack of 10,5%,30049221,15%,20-09-2025,16-02-2026,10-02-2024,362,08-09-2025,low_stock,Ranitidine,Tablet,150mg,1 tablet,Oral,Before Meal,Once daily,14 days,Constipation,Allergy,No,Yes,Yes,Take before food,N/A
PROD037,Face Mask Pack,nonmedicine,Glenmark,BT77145,MedPlus Pharma,Protective Gear,Face Mask,Store below 25°C,50 masks,5%,63079090,20%,20-09-2025,N/A,05-09-2024,96,12-09-2025,in_stock,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3 months,
MED038,Cetirizine 10mg,medicine,Sun Pharma,BT41277,Wellness Forever,Antihistamine,Tablet,Store below 25°C,10 tablets,12%,30049082,10%,20-09-2025,08-11-2026,01-11-2024,52,14-09-2025,in_stock,Cetirizine,Tablet,10mg,1 tablet,Oral,After Meal,Once daily,10 days,Drowsiness,No,No,Yes,Take with water,N/A,
PROD039,Hand Sanitizer 500ml,nonmedicine,Abbott,BT90744,MedKart,Personal Care,Hand Hygiene,Keep away from fire,500ml,18%,38089400,20%,20-09-2025,N/A,12-03-2025,235,19-09-2025,in_stock,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1 year,
MED040,Losartan 50mg,medicine,Torrent Pharma,BT11822,Zepto Distributors,Cardiovascular,Tablet,Store below 25°C,10 tablets,12%,30049092,5%,20-09-2025,01-07-2026,11-07-2024,68,16-09-2025,in_stock,Losartan,Tablet,50mg,1 tablet,Oral,After Meal,Once daily,30 days,Dizziness,Allergy,No,Yes,Yes,Take with water,N/A
PROD041,Shampoo 200ml,nonmedicine,Cipla,BT77301,Platinum Pharma,Personal Care,Hair Care,Keep below 25°C,200ml,18%,30049023,12%,20-09-2025,N/A,10-11-2024,95,11-09-2025,out_of_stock,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6 months,
MED042,Hydroxychloroquine 200mg,medicine,Lupin,BT22457,Medilife Distributors,Antimalarial,Tablet,Room temperature,Box of 20,12%,30049072,10%,20-09-2025,15-05-2026,01-05-2024,77,13-09-2025,in_stock,Hydroxychloroquine,Tablet,200mg,1 tablet,Oral,After Meal,Once daily,14 days,Nausea,Allergy,No,Yes,Yes,Take with water,N/A
PROD043,Vitamin E Cream 50g,nonmedicine,Accu-Chek,BT33990,Apollo Distributors,Wellness,Skincare,Keep below 25°C,50g,18%,30049059,15%,20-09-2025,N/A,08-02-2024,135,10-09-2025,low_stock,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6 months,
MED044,Salbutamol 100mcg,medicine,Sun Pharma,BT44211,Wellness Forever,Respiratory,Inhaler,Store below 25°C,1 inhaler,12%,30049091,10%,20-09-2025,11-09-2026,01-09-2024,180,12-09-2025,in_stock,Salbutamol,Inhaler,100mcg,2 puffs,Inhalation,As needed,Once daily,7 days,Tremor,Nervousness,No,Yes,Yes,Use as directed,N/A
PROD045,Baby Powder 100g,nonmedicine,Dettol,BT55877,MedPlus Pharma,Baby Care,Skincare,Room temperature,100g,5%,30049123,20%,20-09-2025,N/A,18-09-2024,150,11-09-2025,in_stock,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6 months,
MED046,Folic Acid 5mg,medicine,Cadila,BT33156,Platinum Pharma,Supplement,Tablet,Store below 25°C,20 tablets,12%,30049099,5%,20-09-2025,01-06-2026,01-06-2024,45,16-09-2025,in_stock,Folic Acid,Tablet,5mg,1 tablet,Oral,After Meal,Once daily,30 days,Nausea,Allergy,No,No,Yes,Take with water,N/A
PROD047,Face Wash 100ml,nonmedicine,Himalaya,BT99841,Medilife Distributors,Wellness,Lifestyle,Room temperature,100ml,18%,30049410,15%,20-09-2025,N/A,23-05-2024,85,05-09-2025,low_stock,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6 months,
MED048,Azithromycin 250mg,medicine,Lupin,BT11785,MedKart,Antibiotic,Tablet,Store below 25°C,3 tablets,12%,30049010,5%,20-09-2025,30-09-2026,01-09-2024,68,08-09-2025,in_stock,Azithromycin,Tablet,250mg,1 tablet,Oral,After Meal,Once daily,3 days,Nausea,Allergy,No,Yes,Yes,Complete full course,N/A
PROD049,Herbal Soap 75g,nonmedicine,Patanjali,BT77854,Wellness Forever,Wellness,Skincare,Keep below 25°C,75g,18%,30049555,10%,20-09-2025,N/A,01-04-2024,55,06-09-2025,in_stock,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6 months,
MED050,Metformin 500mg,medicine,Sun Pharma,BT77581,Star Pharma Supplies,Antidiabetic,Tablet,Store below 25°C,15 tablets,12%,30049072,10%,20-09-2025,15-07-2026,01-07-2024,50,18-09-2025,in_stock,Metformin,Tablet,500mg,1 tablet,Oral,After Meal,2 times daily,30 days,Nausea,Hypoglycemia,No,Yes,Yes,Take with food,N/A
